,topic_C1_100,topic_C2_100,topic_C3_55,topic_C4_50,topic_C5_25DISQ,topic_C6_50,topic_C7_100,topic_C8_60,topic_C9_76,topic_C10_50,topic_C11_50,topic_C12_44,topic_C13_40,topic_C14_40,topic_C15_45,topic_C16_60,topic_C17_20DISQ,topic_C18_50,topic_C19_20DISQ,topic_C20_50
treat like kids / fools,0.0,0.010101010101010102,0.0,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1346153846153846,0.045454545454545456,0.0
strict,0.030612244897959183,0.030303030303030304,0.018518518518518517,0.07017543859649122,0.0,0.02,0.010101010101010102,0.01639344262295082,0.025974025974025976,0.0392156862745098,0.0196078431372549,0.06818181818181818,0.0,0.023809523809523808,0.021739130434782608,0.01639344262295082,0.1,0.0,0.0,0.23076923076923078
duties,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lack expertise,0.10204081632653061,0.010101010101010102,0.018518518518518517,0.017543859649122806,0.041666666666666664,0.06,0.0707070707070707,0.01639344262295082,0.14285714285714285,0.0196078431372549,0.0784313725490196,0.022727272727272728,0.04878048780487805,0.0,0.0,0.08196721311475409,0.05,0.0,0.18181818181818182,0.0
makes mistakes,0.10204081632653061,0.020202020202020204,0.0,0.017543859649122806,0.041666666666666664,0.0,0.0,0.0,0.025974025974025976,0.0,0.0196078431372549,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.045454545454545456,0.0
distracted,0.0,0.020202020202020204,0.0,0.017543859649122806,0.0,0.0,0.0,0.01639344262295082,0.03896103896103896,0.0,0.0784313725490196,0.0,0.0,0.0,0.06521739130434782,0.0,0.0,0.019230769230769232,0.045454545454545456,0.0
does other things,0.0,0.020202020202020204,0.0,0.03508771929824561,0.041666666666666664,0.0,0.04040404040404041,0.01639344262295082,0.012987012987012988,0.0,0.43137254901960786,0.0,0.0,0.0,0.021739130434782608,0.01639344262295082,0.0,0.019230769230769232,0.0,0.0
chaos in classroom,0.01020408163265306,0.010101010101010102,0.0,0.0,0.0,0.0,0.04040404040404041,0.03278688524590164,0.06493506493506493,0.0,0.058823529411764705,0.0,0.0,0.023809523809523808,0.06521739130434782,0.01639344262295082,0.05,0.21153846153846154,0.0,0.019230769230769232
disorganized,0.01020408163265306,0.1414141414141414,0.0,0.07017543859649122,0.0,0.0,0.06060606060606061,0.03278688524590164,0.12987012987012986,0.0,0.0,0.0,0.04878048780487805,0.0,0.021739130434782608,0.0,0.0,0.019230769230769232,0.0,0.0
slow / no grades,0.02040816326530612,0.25252525252525254,0.0,0.0,0.0,0.0,0.020202020202020204,0.0,0.0,0.0196078431372549,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.0
