
topic 0 words: ,like, peopl, cla, sem, fel, reali, think, nice, know, bad, al, hate, care, act, tri
topic 7 coefs: ,0.07729145, 0.07368731, 0.040365458, 0.040253703, 0.037105434, 0.034940194, 0.031277146, 0.02923675, 0.027786763, 0.02737884, 0.02328151, 0.021595927, 0.02069205, 0.019451689, 0.017924145
topic 8 words: ,learn, cla, anyth, teach, noth, al, reali, know, never, actuali, nice, easi, taught, teacher, everyth
topic 8 coefs: ,0.15481776, 0.09388764, 0.087376915, 0.06875488, 0.033645067, 0.029101977, 0.027958838, 0.024005221, 0.023754431, 0.01913766, 0.018997658, 0.01830905, 0.017328423, 0.013152444, 0.011724342
topic 9 words: ,first, said, start, told, thought, begin, last, rememb, went, name, schol, got, wek, chang, repeat
topic 9 coefs: ,0.06775135, 0.05589086, 0.049197104, 0.0445876, 0.044280764, 0.03786523, 0.033506278, 0.030246591, 0.028005322, 0.026710054, 0.025973378, 0.024982246, 0.024150003, 0.01504404, 0.014380837
topic 10 words: ,student, favorit, help, ask, question, answer, ask_question, cla, rude, wil, teacher, alway, even, know, never
topic 10 coefs: ,0.059248723, 0.058750123, 0.058614124, 0.04588494, 0.027198862, 0.0267581, 0.02629258, 0.022602823, 0.020296339, 0.019232644, 0.018012114, 0.015285248, 0.014982266, 0.012602958, 0.012317626
topic 11 words: ,play, favorit, music, band, quit, program, game, sing, sound, year, song, god, practic, choir, show
topic 11 coefs: ,0.073299624, 0.055861235, 0.038214643, 0.027017526, 0.019478438, 0.016266067, 0.014578335, 0.014315514, 0.01242295, 0.010963462, 0.01027904, 0.0098683415, 0.009503041, 0.0093010785, 0.009000675
topic 12 words: ,fun, project, bore, cla, art, lot, day, make, pointl, watch, activ, interest, work, mani, movi
topic 12 coefs: ,0.09814743, 0.097343415, 0.095717885, 0.078199096, 0.0299169, 0.02878778, 0.025771309, 0.024611836, 0.023852631, 0.021447586, 0.020436062, 0.01994431, 0.019031262, 0.014975412, 0.014577813
topic 13 words: ,ned, kid, teach, think, coleg, help, student, stop, beter, know, litl, favor, al, instead, popular
topic 13 coefs: ,0.17719874, 0.14573424, 0.035605453, 0.032468405, 0.031762518, 0.03088162, 0.030271007, 0.025129834, 0.02104054, 0.018253196, 0.01596618, 0.01406095, 0.010991685, 0.010430335, 0.010100684
topic 14 words: ,point, write, paper, wrong, french, grade, late, time, take, mistak, asign, corect, even, board, make
topic 14 coefs: ,0.057523176, 0.045381222, 0.027339712, 0.022720302, 0.021696271, 0.021106336, 0.020299567, 0.018477524, 0.017848529, 0.017084116, 0.014256417, 0.013862115, 0.012394434, 0.012261174, 0.01179895
topic 15 words: ,test, cla, hard, quiz, easi, note, studi, give, reali, teach, al, homework, nice, preti, grade
topic 15 coefs: ,0.15236044, 0.054088343, 0.052175827, 0.034872342, 0.033982556, 0.031648133, 0.028318893, 0.022740643, 0.022585083, 0.017669633, 0.013801841, 0.013354084, 0.013009888, 0.012567785, 0.011824653
topic 16 words: ,cla, talk, time, half, minut, spend, al, period, whole, bore, spent, comput, take, life, entir
topic 16 coefs: ,0.1056887, 0.1003965, 0.096872225, 0.024809718, 0.023882827, 0.022384826, 0.022367276, 0.020043803, 0.019138787, 0.0123467, 0.011285936, 0.010232153, 0.009984296, 0.00944215, 0.009044328
topic 17 words: ,english, spanish, word, speak, languag, gramar, everybodi, use, vocab, today, say, cannot, speak_spanish, know, cultur
