
topic 0 words: ,help, wil, ned, ask, teacher, student, time, helpful, clas, nice, understand, litle, always, work, want
topic 16 coefs: ,0.07512879, 0.032560248, 0.026220003, 0.020050218, 0.019212363, 0.01838556, 0.014932261, 0.014355695, 0.013196033, 0.012829779, 0.011808956, 0.011543728, 0.0112246545, 0.011200393, 0.009953903
topic 17 words: ,ok, spanish, lot, watch, teacher, clas, rom, run, like, thing, movie, bad, video, ugh, speaking
topic 17 coefs: ,0.09409689, 0.09134022, 0.035621315, 0.032009766, 0.024655078, 0.022851376, 0.020403814, 0.01845803, 0.01599198, 0.0159879, 0.01575952, 0.012324656, 0.0110881645, 0.01104585, 0.010653137
topic 18 words: ,french, physic, voice, term, hear, od, acent, together, wierd, number, count, last, asked_question, longer, house
topic 18 coefs: ,0.08990806, 0.08329822, 0.06251298, 0.047088042, 0.03156552, 0.030454, 0.026986774, 0.02141985, 0.019673908, 0.0153277395, 0.014236915, 0.012855879, 0.012849826, 0.011949207, 0.011320974
topic 19 words: ,word, change, rule, al, on, popular, rock, sport, keps, sound, kid, team, obsesed, ah, big
topic 19 coefs: ,0.071480274, 0.040008496, 0.030736087, 0.030622238, 0.02823198, 0.0210817, 0.019916, 0.018358719, 0.017017888, 0.016972596, 0.015097997, 0.014957688, 0.011948294, 0.011554012, 0.011301137
topic 20 words: ,met, wil, blame, nicest, switch, day, hurt, absent, gone, forgets, woman, schol, whether, lose, known
topic 20 coefs: ,0.038206138, 0.036093745, 0.025277963, 0.02469377, 0.02145718, 0.019406939, 0.018480264, 0.01845753, 0.018413132, 0.017580274, 0.016284514, 0.01443079, 0.012946534, 0.012874821, 0.012833317
topic 21 words: ,clas, easy, boring, anything, nice, realy, learn, time, al, learned, work, never, late, whole, got
topic 21 coefs: ,0.19241133, 0.057467982, 0.05718556, 0.023758965, 0.023698203, 0.021540223, 0.021269476, 0.020466676, 0.019899452, 0.0154606635, 0.0121350745, 0.0120769935, 0.012043444, 0.010615513, 0.010366868
topic 22 words: ,liked, art, knew, language, speak, apreciate, angry, mod_swing, stick, plan, choice, focus_on, asumes, artist, calm
topic 22 coefs: ,0.13438879, 0.07911692, 0.05091614, 0.04817884, 0.02738444, 0.025311382, 0.024727695, 0.024521915, 0.024234977, 0.01922569, 0.017619282, 0.013923376, 0.013916501, 0.010742602, 0.010164984
topic 23 words: ,mean, sometimes, nice, realy, okay, teacher, think, like, people, bad, strict, time, god, litle, kind
