
topic 0 words: ,love, best, math, favorite, science, far, funy, probably, clas, nicest, teach, schol, great, helpful, hilarious
topic 9 coefs: ,0.345239, 0.054276276, 0.052144315, 0.032237235, 0.023072382, 0.018666394, 0.017724542, 0.013907655, 0.012644296, 0.012600722, 0.010748545, 0.010696822, 0.01026616, 0.009870412, 0.0077383663
topic 10 words: ,clas, not, student, material, understand, math, helpful, help, wiling, chemistry, problem, always, wiling_help, question, always_wiling_help
topic 10 coefs: ,0.032223266, 0.02951567, 0.0292895, 0.02796659, 0.025750779, 0.024178637, 0.020564076, 0.018113647, 0.017304333, 0.017045168, 0.016295483, 0.014772027, 0.013908663, 0.013762973, 0.01299576
topic 11 words: ,work, on, god, clas, grade, not, hard, wil, give, side, reading, asignments, project, writing, read
topic 11 coefs: ,0.11268197, 0.058048364, 0.047129143, 0.043681078, 0.04332224, 0.041396417, 0.037672754, 0.030351723, 0.019430174, 0.016585099, 0.01375749, 0.013055166, 0.011475969, 0.011175419, 0.010814995
topic 12 words: ,wel, clas, teach, know, ap, dificult, test, not, great, on, lecture, explains, material, exam, prepared
topic 12 coefs: ,0.119347274, 0.046129543, 0.045575377, 0.0371653, 0.027852213, 0.026165128, 0.024586257, 0.020995542, 0.018097533, 0.01713465, 0.016032724, 0.014412239, 0.014200372, 0.013256707, 0.01305992
topic 13 words: ,god, sometimes, litle, overal, nice, great, strict, bit, prety, get, boring, funy, lady, think, although
topic 13 coefs: ,0.1149073, 0.10297829, 0.06414231, 0.05286788, 0.0360081, 0.033456814, 0.028660215, 0.02407396, 0.022446526, 0.020870226, 0.018012451, 0.016796067, 0.012411357, 0.012242469, 0.011959813
topic 14 words: ,on, got, like, first, word, period, never, last, rom, schol, told, went, said, back, computer
topic 14 coefs: ,0.09959499, 0.058779463, 0.030203918, 0.029451238, 0.015046937, 0.01365092, 0.01269504, 0.011798765, 0.011339202, 0.010737186, 0.0106989015, 0.010157115, 0.009929238, 0.0097428085, 0.009509351
topic 15 words: ,clasrom, idea, change, heart, run, place, conversation, ful, thinking, character, open, new, keping, discusion, situation
topic 15 coefs: ,0.03978188, 0.022792513, 0.017046774, 0.015818195, 0.015719417, 0.01385773, 0.013550946, 0.012584883, 0.010341453, 0.00940252, 0.008671008, 0.008287141, 0.00799188, 0.0077136713, 0.007664379
topic 16 words: ,teaching, great, knowledgeable, subject, pasionate, job, greatest, excelent, know, fantastic, inteligent, teach, knowledge, extremely, enthusiastic
topic 16 coefs: ,0.13874501, 0.04038934, 0.034140576, 0.028097866, 0.025662813, 0.023563966, 0.023163777, 0.02263308, 0.020671954, 0.019798778, 0.019652346, 0.017502978, 0.013088434, 0.012192078, 0.011944355
topic 17 words: ,son, watch, home, movie, video, parent, moment, profesional, date, choice, kid, form, outstanding, red, sily
topic 17 coefs: ,0.042125527, 0.03220218, 0.028444624, 0.023506243, 0.022991847, 0.022697119, 0.016893743, 0.015357142, 0.011263489, 0.01056169, 0.009823086, 0.008575018, 0.008427998, 0.008268584, 0.0076023955
topic 18 words: ,realy, nice, clas, god, funy, like, not, helpful, boring, hard, know, liked, great, person, think
topic 18 coefs: ,0.33881903, 0.118364684, 0.053580485, 0.040590007, 0.029873388, 0.02491126, 0.024800513, 0.02453266, 0.023428237, 0.022996612, 0.0225474, 0.021649448, 0.01474731, 0.012966905, 0.010567596
topic 19 words: ,band, physic, hardest, rule, definately, orchestra, music, practice, sound, brown, playing, department, personable, state, la
