
topic 0 words: ,teach, scienc, know, wel, best, actuali, great, learn, subject, style, pasion, unlik, like, method, amaz
topic 27 words: ,read, art, bok, loke, creativ, debat, artist, draw, movi, film, gona_mi, pictur, tie, quot, mix
topic 27 coefs: ,0.1874688, 0.1001254, 0.08952788, 0.037472032, 0.023688518, 0.017041411, 0.01537925, 0.01525451, 0.012240776, 0.011492641, 0.010336729, 0.009631343, 0.009611472, 0.008538431, 0.008229102
topic 28 words: ,band, pleas, wrote, join, band_director, mari, king, grant, hi, cri, btw, unbeliev, sick, cannot_believ, principl
topic 28 coefs: ,0.10246738, 0.034918524, 0.028012427, 0.019258061, 0.01804779, 0.016492119, 0.014865779, 0.014365005, 0.014089956, 0.013576805, 0.012905444, 0.012538672, 0.012375775, 0.011897998, 0.010964877
topic 29 words: ,opinion, stand, forc, psycholog, open_mind, keli, me, martin, perhap, belief, scream, mete, halway, writen, od
topic 29 coefs: ,0.068279125, 0.026790598, 0.023165151, 0.021229105, 0.016463146, 0.014740892, 0.014042639, 0.013658252, 0.011278936, 0.011068479, 0.011024789, 0.010924762, 0.010591092, 0.010063865, 0.009720307
topic 30 words: ,knowledg, extrem, student, cla, chaleng, help, cours, incred, dificult, engag, intelig, subject, provid, excel, clase
topic 30 coefs: ,0.084149405, 0.06499619, 0.06070228, 0.035251915, 0.026293145, 0.02041927, 0.020181049, 0.018002266, 0.017170511, 0.015032641, 0.0141504705, 0.0130346315, 0.012620047, 0.012467589, 0.01206143
topic 31 words: ,work, cla, hard, wil, long, pay_atent, easi, tri, learn, great, pa, grade, youl, time, al
topic 31 coefs: ,0.13811663, 0.1049504, 0.09544116, 0.060495846, 0.036889352, 0.032991238, 0.030838048, 0.026404433, 0.020141117, 0.019116513, 0.018348584, 0.016830625, 0.014479945, 0.0128797935, 0.011978581
topic 32 words: ,wiliam, prof, task, among, definetli, wear, integr, p, favourit, model, beast, bodi, min, drese, shape
topic 32 coefs: ,0.026654968, 0.022717353, 0.02158064, 0.019493338, 0.018249514, 0.016181612, 0.016172977, 0.014856562, 0.013369471, 0.013167231, 0.01308009, 0.013039171, 0.0115804495, 0.0112184165, 0.0111069465
topic 33 words: ,test, easi, homework, studi, note, cla, give, quiz, hard, al, review, hw, wel, exam, everi
topic 33 coefs: ,0.14207208, 0.055188663, 0.054409612, 0.05041509, 0.04545279, 0.03398746, 0.030319218, 0.030278452, 0.024381056, 0.021465218, 0.015341258, 0.011499366, 0.01097693, 0.010207899, 0.009193532
topic 34 words: ,music, play, program, choir, talent, sing, great, song, orchestra, practic, amaz, director, togeth, beter, know
topic 34 coefs: ,0.10765896, 0.086750805, 0.027013818, 0.024569469, 0.021997735, 0.021197528, 0.019780757, 0.01946532, 0.019097185, 0.018095372, 0.0165063, 0.014631215, 0.01331373, 0.012855169, 0.012784158
topic 35 words: ,love, amaz, absolut, best, cla, favorit, swet, al, everyon, wil, wish, hate, omg, mi, woman
topic 35 coefs: ,0.56486857, 0.04615153, 0.04594649, 0.04423931, 0.035209335, 0.02633017, 0.01730902, 0.016661154, 0.013492262, 0.011822534, 0.01082711, 0.009606389, 0.009477241, 0.006798943, 0.0064907954
topic 36 words: ,stil, year, rememb, taught, ben, al, cla, best, back, high_schol, time, favorit, sinc, great, knew
topic 36 coefs: ,0.071407266, 0.043898582, 0.041350547, 0.03574345, 0.034781102, 0.03464471, 0.03165537, 0.030654935, 0.028334312, 0.024866683, 0.024190981, 0.023039483, 0.016693758, 0.015764436, 0.015661947
topic 37 words: ,english, cla, write, honor, freshman, senior, help, best, tok, esay, semest, improv, literatur, learn, taught
topic 37 coefs: ,0.14179078, 0.07287399, 0.07039154, 0.041942805, 0.041019868, 0.03216867, 0.026622621, 0.023342753, 0.02282312, 0.021802068, 0.016138125, 0.014896375, 0.011675608, 0.011407487, 0.010809586
topic 38 words: ,le, tech, throw, la, hil, planet, elect, recent, wal, de, mac, role, alen, tought, water
topic 38 coefs: ,0.0681341, 0.029111318, 0.023590302, 0.021468407, 0.018645471, 0.01597402, 0.014781027, 0.014420176, 0.013635233, 0.012595165, 0.01249104, 0.011425205, 0.010444376, 0.010441611, 0.009892664
topic 39 words: ,col, first, like, preti, funi, ok, dude, time, got, think, litl, know, guy, sometim, weird
topic 39 coefs: ,0.11982737, 0.082545884, 0.057979, 0.04633757, 0.021864427, 0.015385652, 0.014715994, 0.0135071585, 0.013065539, 0.012895901, 0.012535054, 0.01205687, 0.011078405, 0.010791829, 0.0106746955
