
topic 0 words: ,thank, not, year, taught, life, high_schol, al, ben, stil, student, best, on, great, many, time
topic 7 coefs: ,0.09240077, 0.046231102, 0.03844797, 0.036091726, 0.031179983, 0.030780643, 0.025488641, 0.021851584, 0.018568441, 0.018125916, 0.01689207, 0.015095684, 0.014547162, 0.013588835, 0.012967152
topic 8 words: ,mi, love, loved, best, fun, favorite, wish, al, stil, amazing, social_study, 8th_grade, last, 7th_grade, taught
topic 8 coefs: ,0.0948632, 0.07981249, 0.074183956, 0.039309222, 0.03921249, 0.03223031, 0.0300681, 0.029859325, 0.029380726, 0.027262663, 0.021913648, 0.020339992, 0.020094046, 0.017747017, 0.016954279
topic 9 words: ,rating, star, rate, memorize, enginering, among, five, corect, por, productive, guidance_counselor, proper, independent, nobody, formula
topic 9 coefs: ,0.051640846, 0.049376346, 0.028310746, 0.023098322, 0.020862639, 0.020555707, 0.013892049, 0.013291147, 0.012870611, 0.011303201, 0.0109207, 0.01020426, 0.009714358, 0.009476641, 0.009333006
topic 10 words: ,english, reading, writing, read, esays, write, literature, paper, boks, on, bok, esay, discusions, writer, asignments
topic 10 coefs: ,0.17789833, 0.058530666, 0.057895996, 0.032099705, 0.031714316, 0.027937144, 0.021716027, 0.01867208, 0.01797963, 0.015413695, 0.014117948, 0.01299113, 0.010577041, 0.010175955, 0.010174183
topic 11 words: ,coach, game, run, team, health, sport, pe, law, la, great, north, debate, awsome, runing, ela
topic 11 coefs: ,0.09519795, 0.049415663, 0.03964777, 0.039048046, 0.034899995, 0.024727099, 0.021949073, 0.015530502, 0.014343003, 0.01374536, 0.01317239, 0.012074131, 0.0117556, 0.0113638565, 0.011313519
topic 12 words: ,chose, tech, regardles, order, cut, academy, alone, medium, fredom, robert, superb, pro, speches, mix, original
topic 12 coefs: ,0.049791325, 0.039072007, 0.023361776, 0.019738996, 0.01925361, 0.019234382, 0.017763982, 0.016236518, 0.0156141715, 0.013608856, 0.012381527, 0.010744091, 0.0106302565, 0.010502795, 0.009509514
topic 13 words: ,video, busines, economics, presentation, technology, global, elective, anderson, block, psych, cannot_wait, project, wit, raise, design
topic 13 coefs: ,0.057316355, 0.038665343, 0.024679983, 0.02254756, 0.021262905, 0.019506, 0.018300463, 0.0178334, 0.01678984, 0.016576545, 0.01571872, 0.015249478, 0.012927288, 0.012361791, 0.010711015
topic 14 words: ,greatest, god, world, power, money, human, true, legend, eye, spech, bles, religion, wiliams, country, meaning
topic 14 coefs: ,0.044959832, 0.028727688, 0.015786603, 0.013589637, 0.012350447, 0.011611961, 0.011523496, 0.011458961, 0.0111147715, 0.010919976, 0.010780338, 0.010750009, 0.010615092, 0.010490893, 0.010157075
topic 15 words: ,deserves, west, unit, email, award, hopefuly, four, hapens, chs, come_back, water, strange, damn, alen, main
topic 15 coefs: ,0.044680104, 0.023564523, 0.02314285, 0.021722138, 0.02090995, 0.013892443, 0.013104334, 0.012801024, 0.012150868, 0.011016029, 0.01042562, 0.009447481, 0.009146071, 0.009008616, 0.008831653
topic 16 words: ,course, profesor, instructor, knowledge, colege, john, prof, profesors, university, degre, davis, theater, humanity, tok, social
topic 16 coefs: ,0.14477095, 0.05427761, 0.028729456, 0.026087305, 0.025042044, 0.016242381, 0.013828551, 0.013108595, 0.012318725, 0.011665652, 0.011536879, 0.010752943, 0.0102440985, 0.009973339, 0.009852701
